"text","label"
"Show me labs working on HCI.","Labs"
"List institutes related to interdisciplinary research.","Institutes"
"How does Northeastern tackle interdisciplinary science?","Institutes"
"Recent updates on grants?","Research_current_highlights"
"Laboratories related to data science in the northeast.","Labs"
"Laboratories related to AI in the northeast.","Labs"
"Show me faculty involved in data science.","Professors"
"Labs involved in HCI?","Labs"
"Which professor specializes in robotics?","Professors"
"Show me faculty involved in NLP.","Professors"
"Give me details of the research centres for digital democracy.","Institutes"
"Labs involved in AI?","Labs"
"List Khoury labs for data science research.","Labs"
"Which professor specializes in data science?","Professors"
"New Research in Computer Vision by Khoury.","Research"
"Any highlights in robotics recently?","Research_current_highlights"
"Which institute focuses on sustainability?","Institutes"
"New research in machine learning by Khoury.","Research"
"List professors working on robotics.","Professors"
"Show me the faculty involved in systems.","Professors"
"What are the latest papers in machine learning?","Research"
"Give me details on Data Ethics Research Centers.","Institutes"
"List professors working on AI.","Professors"
"Which professor specializes in systems?","Professors"
"Show me the faculty involved in formal methods.","Professors"
"Recent updates on awards?","Research_current_highlights"
"What are the latest papers in generative models?","Research"
"Give me detailed information on human-computer interaction labs under the computer science department.","Labs"
"New research in causal inference by Khoury.","Research"
"Ongoing machine learning research projects?","Research"
"Labs related to HCI at Northeastern.","Labs"
"Show me labs working on bioinformatics.","Labs"
"Recent updates on new research?","Research_current_highlights"
"Which institute focuses on cybersecurity?","Institutes"
"List of institutions related to generative AI.","Institutes"
"Labs related to visual computing at Northeastern.","Labs"
"List of institutes in connection with network science.","Institutes"
"List of Khoury laboratories for AI research.","Labs"
"Which center is responsible for cybersecurity?","Institutes"
"Labs related to networks at Northeastern.","Labs"
"Show me the Department of Software Engineering.","Professors"
"Faculty experts in robotics?","Professors"
"What's new in media coverage?","Research_current_highlights"
"Show me faculty involved in privacy.","Professors"
"Show me faculty involved in formal methods.","Professors"
"Show me current machine learning research in the northeast.","Research"
"Labs related to cybersecurity at Northeastern.","Labs"
"Show me recent generative models research at Northeastern.","Research"
"Faculty experts in software engineering?","Professors"
