Professor Name,Research Area,Biography,Research Interests,Education,doc_id
Aarti Sathyanarayana,Personal Health Informatics,"Aarti Sathyanarayana is an assistant professor in the Khoury College of Computer Sciences and the Bouvé College of Health Sciences at Northeastern University, based in Boston.",Digital health; Wearable devices; Digital phenotyping; Digital biomarker discovery,"PhD in Computer Science, University of Minnesota; MS in Computer Science, University of Minnesota; BS in Mathematics, University of Minnesota",1889
Abhi Shelat,Algorithms and Theory; Cybersecurity and Privacy,"Abhi Shelat is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Cryptography; Applied security,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Massachusetts Institute of Technology; BA in Computer Science, Harvard University",1890
Ada Lerner,Cybersecurity and Privacy; Human-Centered Computing,"Ada Lerner is an assistant professor and the director of the BS in Cybersecurity program at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Human–computer interaction; Security and privacy,"PhD in Computer Science and Engineering, University of Washington; MS in Computer Science and Engineering, University of Washington; BA in Computer Science, Amherst College",1891
Adeel Bhutta,Computer Science Education,Adeel A. Bhutta is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University.,Artificial intelligence; Machine learning; Software engineering; Computer science education,"PhD in Computer Engineering, University of Central Florida; MS in Computer Engineering, University of Central Florida; MS in Computer Science, University of Central Florida; BS in Electronic Engineering, GIK Institute — Pakistan",1892
Alan Mislove,Cybersecurity and Privacy; Systems and Networking,"Alan Mislove is a professor and the senior associate dean for academic affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Network measurement; Networking; Online social networks; Security and privacy,"PhD in Computer Science, Rice University; MS in Computer Science, Rice University; BA in Computer Science, Rice University",1893
Albert Lionelle,Computer Science Education,Albert Lionelle is an associate teaching professor and the director of Align at the Khoury College of Computer Sciences at Northeastern University. He earned his bachelor's and his PhD degrees in computer science from Colorado State University.,Computer science education; Inclusive pedagogy; Grading practices; Learning and recall practices based in psychology; Learning analytics; Learning tools design,"PhD in Computer Science, Colorado State University; MS in Computer Science, Colorado State University; BS in Computer Science, Colorado State University",1894
Albert-László Barabási,Data Science; Network Science,"Albert-László Barabási is the Robert Gray Dodge Professor of Network Science and a Distinguished University Professor at Northeastern University, based in Boston. He directs the Center for Complex Network Research and holds appointments in the College of Science and the Khoury College of Computer Sciences.",Network science; Properties of sub-cellular networks in understanding human disease; Control theory,"PhD in Physics, Boston University; MS in Theoretical Physics, Eötvös Loránd University — Hungary; BS in Physics and Engineering, University of Bucharest — Romania",1895
Alessandro Vespignani,Data Science; Network Science,"Alessandro Vespignani is the Sternberg Distinguished University Professor at Northeastern University, based in Boston. He holds interdisciplinary appointments in the Khoury College of Computer Sciences, College of Science, and Bouvé College of Health Sciences.",Characterization and modeling of complex networks; Modeling the spatial spread of epidemics; Resilience of complex networks; Collective behavior of techno-social systems,"PhD in Physics, Sapienza University of Rome — Italy",1896
Alexandra To,Games; Human-Centered Computing,"Alexandra To is an assistant professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",,,1897
Alina Oprea,Artificial Intelligence; Cybersecurity and Privacy,"Alina Oprea is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Security analytics; Cloud security; Network security; Applied cryptography,"PhD in Computer Science, Carnegie Mellon University; MS in Computer Science, Carnegie Mellon University; BS in Mathematics and Computer Science, University of Bucharest — Romania",1898
Amal Ahmed,Programming Languages,"Amal Ahmed is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages; Correct and secure compilation; Gradual typing; Safe language interoperability,"PhD in Computer Science, Princeton University; MS in Computer Science, Stanford University; BA in Computer Science and Economics, Brown University",1899
Ariel Hamlin,Cybersecurity and Privacy,"Ariel Hamlin is an assistant teaching professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",,"PhD in Computer Science, Northeastern University; BS in Computer Science and Civil Engineering, Tufts University",1900
Arjun Guha,Computer Science Education; Programming Languages; Software Engineering,"Arjun Guha is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Programming languages,"PhD in Computer Science, Brown University; BA in Computer Science, Grinnell College",1901
Benjamin Gyori,Computational Biology,"Benjamin M. Gyori is an associate professor in the Khoury College of Computer Sciences and the College of Engineering at Northeastern University, based in Boston.",,"PhD in Computational Biology, National University of Singapore; BSc in Computer Engineering, Budapest University of Technology and Economics — Hungary",1902
Benjamin Lerner,Computer Science Education,"Benjamin Lerner is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. He earned his doctorate in computer science at the University of Washington, Seattle and his bachelor’s in computer science and mathematics at Yale University. At Northeastern, Lerner teaches Fundamentals of Computer Science, Object-Oriented Design, and Compilers. He received awards for CCIS Teacher of the Year and University Excellence in Teaching in 2017. In the past, Lerner worked for Microsoft and MSR, and has taught at the Johns Hopkins Center for Talented Youth Program.",Programming languages; Computer science education,"PhD in Computer Science, University of Washington; BS in Computer Science and Mathematics, Yale University",1903
Bob De Schutter,Games,"Bob De Schutter is an associate professor in the Khoury College of Computer Sciences and the College of Arts, Media and Design at Northeastern University, based in Boston.",Game design and development; Independent video games; Serious games; Player motivation; Aging,"PhD in Social Science, Katholieke Universiteit Leuven — Belgium; MA in Visual Arts, Karel De Grote University College — Belgium",1904
Brianna Dym,Games; Human-Centered Computing,"Brianna Dym is an assistant teaching professor in the Khoury College of Computer Sciences at Northeastern University, based at the Roux Institute in Portland, Maine.",,"PhD in Information Science, University of Colorado Boulder; MA in English, University of Alaska; BA in English Education, University of Alaska",1905
Bruce Maxwell,Artificial Intelligence,"Bruce Maxwell is a teaching professor and assistant director of computing programs at Northeastern University’s Seattle campus. He earned both his bachelor’s degrees in political science and engineering from Swarthmore College, his master of philosophy in computer speech and natural language processing from the University of Cambridge, and his PhD in robotics from Carnegie Mellon University. His areas of teaching include computer vision, computer graphics, robotics, machine learning, and more.",Computer vision; Machine learning; Robotics; Data science,"PhD in Robotics, Carnegie Mellon University; MPhil in Computer Speech and Natural Language Processing, University of Cambridge; BS in Engineering, Swarthmore College; BA in Political Science, Swarthmore College",1906
Byron Wallace,Artificial Intelligence; Natural Language Processing,"Byron Wallace is an associate dean of graduate programs, director for the undergraduate data science program, and the Sy and Laurie Sternberg Interdisciplinary Associate Professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Data mining; Machine learning; Natural language processing,"PhD in Computer Science, Tufts University; BS in Computer Science, University of Massachusetts at Amherst",1907
Caglar Yildirim,Data Visualization; Human-Centered Computing,"Caglar Yildirim is an associate teaching professor at the Khoury College of Computer Sciences at Northeastern University. His research focuses on human-computer interaction, mixed reality, data visualization, games, and applied machine learning. Yildirim is a member of the Data Visualization Lab and has served on the Khoury Undergraduate Curriculum Committee and the Khoury MSCS Curriculum Committee at Northeastern.",Human-computer interaction; Applied machine learning; Data visualization; Games,"PhD in Human-Computer Interaction, Iowa State University; MS in Human-Computer Interaction, Iowa State University",1908
Carla E. Brodley,Computer Science Education,Carla E. Brodley is the dean of inclusive computing and the founding executive director of the Center for Inclusive Computing (CIC) at Northeastern University. She is the dean emeritus of the Khoury College of Computer Sciences.,Computing education research; Broadening participation in computing; University administration,"PhD in Computer Science, University of Massachusetts at Amherst; MS in Computer Science, University of Massachusetts at Amherst; BA in Mathematics and Computer Science, McGill University — Canada",1909
Cheng Tan,Cybersecurity and Privacy; Data Management; Data Science; Systems and Networking,"Cheng Tan is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Computer systems; Systems and networking; Security; Operating systems,"PhD in Computer Science, New York University; MS in Software Engineering, Fudan University — China; BE in Software Engineering, Nanjing University — China",1910
