Professor Name,Profile URL,Biography,Research Interests,Education,doc_id
Soheil Behnezhad,https://www.khoury.northeastern.edu/people/soheil-behnezhad/,"Soheil Behnezhad is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.Before joining Northeastern, he was a Motwani postdoc at Stanford. He is broadly interested in theoretical computer science. Much of his work focuses on graph algorithms and the theoretical foundations of big data algorithms. This includes sublinear time algorithms, parallel algorithms, streaming algorithms, dynamic algorithms, and graph sparsifiers.Behnezhad is the author of many papers in leading conferences in theoretical computer science for which he has won a number of awards, including a STOC 2025 best paper award, a SODA 2023 best paper award, an NSF CAREER award, a Google Research award, and a best thesis award at UMD, among others.",Graph algorithms; Parallel algorithms; Sublinear algorithms; Dynamic algorithms; Streaming algorithms,"PhD in Computer Science, University of Maryland; BSc in Software Engineering, Sharif University of Technology — Iran",1889
Mahsa Derakhshan,https://www.khoury.northeastern.edu/people/mahsa-derakhshan/,,Online algorithms; Algorithms for stochastic graphs; Algorithmic game theory; Mechanism design,"PhD in Computer Science, University of Maryland",1890
Paul Hand,https://www.khoury.northeastern.edu/people/paul-hand/,"Paul Hand is an assistant professor in the Khoury College of Computer Sciences and the College of Science at Northeastern University, based in Boston.",Theory and algorithms for machine learning and artificial intelligence,"PhD in Mathematics, Courant Institute of Mathematical Sciences at New York University; BS in Applied and Computational Mathematics, California Institute of Technology",1891
Zhengzhong Jin,https://www.khoury.northeastern.edu/people/zhengzhong-jin/,"Zhengzhong Jin is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a member of the Cybersecurity and Privacy Institute.",,"PhD in Computer Science, Johns Hopkins University; BS in Information and Computing Science, Fudan University — China",1892
Huy Lê Nguyen,https://www.khoury.northeastern.edu/people/huy-le-nguyen/,"Huy Lê Nguyen is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Algorithmic techniques for massive data sets; Optimization; Machine learning,"PhD in Computer Science, Princeton University; MEng in Computer Science, Massachusetts Institute of Technology; BS in Computer Science and Mathematics, Massachusetts Institute of Technology",1893
Rajmohan Rajaraman,https://www.khoury.northeastern.edu/people/rajmohan-rajaraman/,"Rajmohan Rajaraman is a professor and the associate dean of faculty affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Approximation algorithms for intractable optimization problems; Network design; Distributed computing in dynamic environments; Algorithmic game theory,"PhD in Computer Science, University of Texas at Austin; BS in Computer Science, IIT Kanpur — India",1894
Abhi Shelat,https://www.khoury.northeastern.edu/people/abhi-shelat/,"Abhi Shelat is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Cryptography; Applied security,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Massachusetts Institute of Technology; BA in Computer Science, Harvard University",1895
Ravi Sundaram,https://www.khoury.northeastern.edu/people/ravi-sundaram/,"Ravi Sundaram is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Networks; Algorithms,"PhD in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; MS in Electrical Engineering and Computer Science, Massachusetts Institute of Technology; BTech in Computer Science and Engineering, Indian Institute of Technology — India",1896
Jonathan Ullman,https://www.khoury.northeastern.edu/people/jonathan-ullman/,"Jonathan Ullman is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Privacy; Machine learning and statistics; Cryptography; Algorithms,"PhD in Computer Science, Harvard University; BSE in Computer Science, Princeton University",1897
Emanuele Viola,https://www.khoury.northeastern.edu/people/emanuele-viola/,"Emanuele Viola is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Theoretical computer science,"PhD in Computer Science, Harvard University; BS in Computer Science, La Sapienza University — Italy",1898
Daniel Wichs,https://www.khoury.northeastern.edu/people/daniel-wichs/,"Daniel Wichs is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Modern cryptography; Information security,"PhD in Computer Science, New York University; MS in Computer Science, Stanford University; BS in Mathematics, Stanford University",1899
Hongyang Zhang,https://www.khoury.northeastern.edu/people/hongyang-zhang/,"Hongyang (Ryan) Zhang is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.","Machine learning; Design and analysis of algorithms; Learning theory; Data, data augmentation, and networks; Language modeling","Postdoctorate in Statistics and Data Science, University of Pennsylvania; PhD in Computer Science, Stanford University; BEng in Computer Science, Shanghai Jiao Tong University — China",1900
Malihe Alikhani,https://www.khoury.northeastern.edu/people/malihe-alikhani/,"Malihe Alikhani is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",AI ethics; Artificial intelligence; Machine learning; Natural language processing,"PhD in computer science, Rutgers University; Graduate certificate in cognitive science, Rutgers University",1901
Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University",1902
Silvio Amir,https://www.khoury.northeastern.edu/people/silvio-amir/,"Silvio Amir is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston. He is a core faculty member in Northeastern's Institute for Experiential AI and the NULab for Texts, Maps, and Networks.",Natural language processing; Machine learning; Information retrieval; Social media analysis,"Postdoctoral Fellow, Center for Language and Speech Processing, Johns Hopkins University; PhD in Information Systems and Computer Engineering, Instituto Superior Tecnico, Universidade de Lisboa — Portugal; MS in Computer Science and Engineering, Faculdade de Ciencias da Universidade de Lisboa — Portugal",1903
Javed Aslam,https://www.khoury.northeastern.edu/people/jay-javed-aslam/,"Javed Aslam is chief of artificial intelligence and a professor at the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Information retrieval; Applications of statistics and information theory,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Massachusetts Institute of Technology; BS in Electrical Engineering, University of Notre Dame",1904
David Bau,https://www.khoury.northeastern.edu/people/david-bau/,"David Bau is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Computer vision; Artificial intelligence; Natural language processing; Human–computer interaction,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Cornell University; AB in Mathematics, Harvard University",1905
Kenneth Church,https://www.khoury.northeastern.edu/people/kenneth-church/,"Kenneth Church is a professor of the practice in the Khoury College of Computer Sciences at Northeastern University, based in Silicon Valley. He is a senior principal research scientist at Northeastern's Institute for Experiential AI.",Natural language processing and information retrieval; Artificial intelligence; Machine learning,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Massachusetts Institute of Technology; BS in Computer Science, Massachusetts Institute of Technology",1906
Nate Derbinsky,https://www.khoury.northeastern.edu/people/nate-derbinsky/,"Nate Derbinsky's research interests combine artificial intelligence, optimization, machine learning, and database systems. He recently helped invent the Boundary Forest Algorithm, an online instance-based approach for supervised and unsupervised learning, as well as the Three-Weight Algorithm, a general and distributed algorithm based on the Alternating Direction Method of Multipliers that has been effectively applied to large-scale problems in robotics, control, protein folding, and multi-dimensional packing. He also works with the Soar cognitive architecture, enabling a broad range of artificial intelligence systems endowed with effective and efficient long-term memory. In work with undergraduates, he created CHUCK, a robot that still needs some work, but will eventually beat its creator in a game of cornhole!",Artificial intelligence; Machine learning,"PhD in Computer Science and Engineering, University of Michigan; MS in Computer Science and Engineering, University of Michigan; BS in Computer Science, North Carolina State University",1907
Jennifer Dy,https://www.khoury.northeastern.edu/people/jennifer-dy/,"Jennifer G. Dy is an associate professor in the College of Engineering at Northeastern University, with a courtesy appointment in the Khoury College of Computer Sciences.",Machine learning; Data mining; Statistical pattern recognition; Computer vision; Image processing,"PhD in Electrical and Computer engineering, Purdue University; MS in Electrical and Computer engineering, Purdue University; BS in Electrical Engineering, University of the Philippines",1908
