Research Area,Professor Name,Profile URL,Biography,Research Interests,Education,Publication Date,Publication Title,Publication Link,Citation,Publication Summary
Algorithms and Theory,Huy Lê Nguyen,https://www.khoury.northeastern.edu/people/huy-le-nguyen/,"Huy Lê Nguyen is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Algorithmic techniques for massive data sets; Optimization; Machine learning,"PhD in Computer Science, Princeton University; MEng in Computer Science, Massachusetts Institute of Technology; BS in Computer Science and Mathematics, Massachusetts Institute of Technology","October 31st, 2022",Improved Learning-augmented Algorithms for k-means and k-medians Clustering,https://openreview.net/pdf?id=dCSFiAl_VO3," Thy Dinh Nguyen, Anamay Chaturvedi, Huy L. Nguyen. (2023). Improved Learning-augmented Algorithms for k-means and k-medians Clustering ICLR. https://openreview.net/pdf?id=dCSFiAl_VO3","We consider the problem of clustering in the learning-augmented setting. We are given a data set in d-dimensional Euclidean space, and a label for each data point given by a predictor indicating what subsets of points should be clustered together. This setting captures situations where we have access to some auxiliary informa- tion about the data set relevant for our clustering objective, for instance the labels output by a neural network. Following prior work, we assume that there are at most an α ∈(0, c) for some c < 1 fraction of false positives and false negatives in each predicted cluster, in the absence of which the labels would attain the optimal clustering cost OPT. For a dataset of size m, we propose a deterministic k-means algorithm that produces centers with an improved bound on the clustering cost compared to the previous randomized state-of-the-art algorithm while preserv- ing the O(dm log m) runtime. Furthermore, our algorithm works even when the predictions are not very accurate,conclusion not found"
Algorithms and Theory,Rajmohan Rajaraman,https://www.khoury.northeastern.edu/people/rajmohan-rajaraman/,"Rajmohan Rajaraman is a professor and the associate dean of faculty affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Approximation algorithms for intractable optimization problems; Network design; Distributed computing in dynamic environments; Algorithmic game theory,"PhD in Computer Science, University of Texas at Austin; BS in Computer Science, IIT Kanpur — India","July 11th, 2016",Robust and Probabilistic Failure-Aware Placement,http://www.ccs.neu.edu/home/rraj/Pubs/FailureAwarePlacementSPAA2016.pdf," Rajmohan Rajaraman , M. Korupolu ACM Symposium on Parallelism in Algorithms and Architectures, July 2016","Motivated by the growing complexity and heterogeneity of modern data centers, and the prevalence of commodity com- ponent failures, this paper studies the failure-aware place- ment problem of placing tasks of a parallel job on machines in the data center with the goal of increasing availability. We consider two models of failures: adversarial and prob- abilistic. In the adversarial model, each node has a weight (higher weight implying higher reliability) and the adver- sary can remove any subset of nodes of total weight at most a given bound W and our goal is to ﬁnd a placement that incurs the least disruption against such an adversary. In the probabilistic model, each node has a probability of failure and we need to ﬁnd a placement that maximizes the proba- bility that at least K out of N tasks survive at any time. For adversarial failures, we ﬁrst show that (i) the prob- lems are in Σ2, the second level of the polynomial hierarchy, (ii) a basic variant, that we call RobustFAP, is co-NP- hard, and (iii) an all-or-nothing version of RobustFAP is Σ2-complete. We then give a PTAS for RobustFAP, a key ingredient of which is a solution that we design for a frac- tional version of RobustFAP. We then study fractional Ro- bustFAP over hierarchies, denoted HierRobustFAP, and introduce a notion of hierarchical max-min fairness and a novel Generalized Spreading algorithm which is simultane- ously optimal for all W. These generalize the classical notion of max-min fairness to work with nodes of diﬀering capaci- ties, diﬀering reliability weights and hierarchical structures. Using randomized rounding, we extend this to give an algo- rithm for integral HierRobustFAP. For the probabilistic version, we ﬁrst give an algorithm that achieves an additive ε approximation in the failure probability for the single level version, called ProbFAP, while giving up a (1+ε) multiplicative factor in the number of failures. We then extend the result to the hierarchical ver- sion, HierProbFAP, achieving an ε additive approximation ∗Supported in part by NSF grants CNS-1217981, CCF- 1422715, and CCF-1535929, and a Google Research Award. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for proﬁt or commercial advantage and that copies bear this notice and the full citation on the ﬁrst page. Copyrights for components of this work owned by others than the author(s) must be honored. Abstracting with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior speciﬁc permission and/or a fee. Request permissions from permissions@acm.org. SPAA ’16, July 11 - 13, 2016, Paciﬁc Grove, CA, USA c⃝2016 Copyright held by the owner/author(s). Publication rights licensed to ACM. ISBN 978-1-4503-4210-0/16/07...$15.00 DOI: http://dx.dos and open problems In this paper, we formulate and initiate the study of failure- aware placement for hierarchical data centers under adver- sarial and probabilistic failures. For both classes, we give hardness results and approximation algorithms for multiple variants: based on generalized spreading for HierRobust- FAP and Poisson approximation for HierProbFAP. One natural question is to improve the approximation guarantees and design more practical implementations for some of the variants. In particular, the approximation fac- tor in the bicriteria PTAS for HierProbFAP grows linearly in the number of levels. While this is reasonable for current datacenters (which typically have three to four levels of hi- erarchy), it would be interesting to see if the approximation factor can be made sublinear or even independent of number of levels. Similarly, our PTASes incur high running times (e.g., for RobustFAP, a standard implementation would take time O(n(3+ln(1/ε))/ε) time), and it is important to de- sign practical implementations of PTASes that trade oﬀap- proximation guarantees for simplicity. On a related note, our study here has focused on identical tasks of the same size. It will be interesting to extend this to an on-line sequence of jobs of possibly diﬀerent sizes. A further extension would be to consider dynamic task migra- tions to improve availability as jobs ﬁnish and leave."
Algorithms and Theory,Rajmohan Rajaraman,https://www.khoury.northeastern.edu/people/rajmohan-rajaraman/,"Rajmohan Rajaraman is a professor and the associate dean of faculty affairs in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Approximation algorithms for intractable optimization problems; Network design; Distributed computing in dynamic environments; Algorithmic game theory,"PhD in Computer Science, University of Texas at Austin; BS in Computer Science, IIT Kanpur — India","May 8th, 2016",Robust Secret Sharing with Essentially Optimal Share Size,http://www.ccs.neu.edu/home/rraj/Pubs/SecretSharingEC2016.pdf," Rajmohan Rajaraman, A. Bishop, V. Pastro, and D. Wichs, Eurocrypt, May 2016","In a t-out-of-n robust secret sharing scheme, a secret message is shared among n parties who can reconstruct the message by combining their shares. An adversary can adaptively corrupt up to t of the parties, get their shares, and modify them arbitrarily. The scheme should sat- isfy privacy, meaning that the adversary cannot learn anything about the shared message, and robustness, meaning that the adversary cannot cause the reconstruction procedure to output an incorrect message. Such schemes are only possible in the case of an honest majority, and here we focus on unconditional security in the maximal corruption setting where n = 2t +We constructed an eﬃcient robust secret sharing scheme for the maximal cor- ruption setting with n = 2t + 1 parties with nearly optimal share size of m + ek bits, where m is the length of the message and 2−k is the failure probability of the reconstruction procedure with adversarial shares. One open question would be to optimize the poly-logarithmic terms in our construction. Indeed, it should be relatively easy to improve on these terms which we did not analyze carefully, but it seems challenging and interesting to attempt to go all the way down to m + O(k) or perhaps even just m + k bits. We leave this as a challenge for future work."
Algorithms and Theory,Emanuele Viola,https://www.khoury.northeastern.edu/people/emanuele-viola/,"Emanuele Viola is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Theoretical computer science,"PhD in Computer Science, Harvard University; BS in Computer Science, La Sapienza University — Italy","May 15th, 2012","Substitution-permutation networks, pseudo random functions, and natural proofs",https://eprint.iacr.org/2011/226.pdf, Eric Miles and Emanuele Viola,"This paper takes a new step towards closing the troubling gap between pseudoran- dom functions (PRF) and their popular, bounded-input-length counterparts. This gap is both quantitative, because these counterparts are more eﬃcient than PRF in various ways, and methodological, because these counterparts usually ﬁt in the substitution- permutation network paradigm (SPN) which has not been used to construct PRF. We give several candidate PRF Fi that are inspired by the SPN paradigm. This paradigm involves a “substitution function” (S-box). Our main candidates are: F1 : {0, 1}n →{0, 1}n is an SPN whose S-box is a random function on b bits given as part of the seed. We prove unconditionally that F1 resists attacks that run in time ≤2ǫb. Setting b = ω(lg n) we obtain an ineﬃcient PRF, which however seems to be the ﬁrst such construction using the SPN paradigm. F2 : {0, 1}n →{0, 1}n is an SPN where the S-box is (patched) ﬁeld inversion, a common choice in practical constructions. F2 is computable with Boolean circuits of size n · logO(1) n, and in particular with seed length n · logO(1) n. We prove that this candidate has exponential security 2Ω(n) against linear and diﬀerential cryptanalysis. F3 : {0, 1}n →{0, 1} is a non-standard variant on the SPN paradigm, where “states” grow in length. F3 is computable with size n1+ǫ, for any ǫ > 0, in the restricted circuit class TC0 of unbounded fan-in majority circuits of constant-depth. We prove that F3 is almost 3-wise independent. F4 : {0, 1}n →{0, 1} uses an extreme setting of the SPN parameters (one round, one S-box, no diﬀusion matrix). The S-box is again (patched) ﬁeld inversion. We prove that this candidate fools all parity tests that look at ≤20.9n outputs. Assuming the security of our candidates, our work also narrows the gap between the “Natural Proofs barrier” [Razborov & Rudich; JCSS ’97] and existing lower bounds, in three models: unbounded-depth circuits, TC0 circuits, and Turing machines. In particular, the eﬃciency of the circuits computing F3 is related to a result by Allender and Koucky [JACM ’10] who show that a lower bound for such circuits would imply a lower bound for TC0. ∗Supported by NSF grant CCF-0845003. Email: {enmiles,viola}@ccs.neu.edu 1and future work Two obvious directions for future work are to extend the analysis of F1 to handle inverse queries (necessarily choosing the S-box as a random permutation), and to extend Theorem 1.8 to prove almost d-wise independence of F3 for d > 3. A more foundational question left unanswered is to understand how the degree of each output bit of an SPN (as a polynomial in the input bits) is aﬀected by the degree of the S-box and by the “mixing” properties of the linear transformation. Exploring other choices of the S-box besides inversion may lead to more eﬃcient construc- tions, and utilizing other properties of the linear transformation besides maximal-branch- number may allow stronger proofs of security. This could potentially give a (plausibly secure) SPN computable by circuits of size O(n). Recall from §1 that a PRF computable with size O(n) and with security 2n would bring the Natural Proofs barrier to the current frontier of lower bounds against unbounded-depth circuits. Abstracting from the SPN structure, one may arrive to the following paradigm for con- structing PRF: alternate the application of (1) an error-correcting code and (2) a bundle-wise 25 application of any local map that has high degree over GF(2) and resists attacks correspond- ing to linear and diﬀerential cryptanalysis. This viewpoint may lead to a PRF candidate computable in ACC0, since for (1) one just needs parity gates, while, say, taking parities of suitable mod 3 maps one should get a map that satisﬁes (2). However a good choice for this latter map is not clear to us at this moment. We believe a good candidate PRF should be the simplest candidate that resists known attacks. As noted in [DR02], some of the choices in the design of AES are not motivated by any known attack, but are there as a safeguard (for example, one can reduce the number of rounds and still no attack is known). While this is comprehensible when having to choose a standard that is diﬃcult to change or when deploying a system that is to be widely used, one can argue that a better way for the research community to proceed is to put forth the simplest candidate PRF, possibly break it, and iterate until hopefully converging to a secure PRF. We view this paper as a step in this direction."
Algorithms and Theory,Daniel Wichs,https://www.khoury.northeastern.edu/people/daniel-wichs/,"Daniel Wichs is a professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Modern cryptography; Information security,"PhD in Computer Science, New York University; MS in Computer Science, Stanford University; BS in Mathematics, Stanford University","October 15th, 2017",Obfuscating Compute-and-Compare Programs under LWE,http://ieee-focs.org/FOCS-2017-Papers/3464a600.pdf, Daniel Wichs and Giorgos Zirdelis,Failed to download
Artificial Intelligence,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","February 20th, 2023",Improving Deep Policy Gradients with Value Function Search,https://openreview.net/pdf?id=6qZC7pfenQm," Enrico Marchesini, Christopher Amato. (2023). Improving Deep Policy Gradients with Value Function Search ICLR. https://openreview.net/pdf?id=6qZC7pfenQm","Deep Policy Gradient (PG) algorithms employ value networks to drive the learn- ing of parameterized policies and reduce the variance of the gradient estimates. However, value function approximation gets stuck in local optima and struggles to fit the actual return, limiting the variance reduction efficacy and leading policies to sub-optimal performance. This paper focuses on improving value approxima- tion and analyzing the effects on Deep PG primitives such as value prediction, variance reduction, and correlation of gradient estimates with the true gradient. To this end, we introduce a Value Function Search that employs a population of perturbed value networks to search for a better approximation. Our framework does not require additional environment interactions, gradient computations, or ensembles, providing a computationally inexpensive approach to enhance the su- pervised learning task on which value networks train. Crucially, we show that improving Deep PG primitives results in improved sample efficiency and policies with higher returns using common continuous control benchmark domains. 1VFS introduces a two-scale perturbation operator voted to diversify a population of value networks to (i) explore local variations of current critics’ predictions and (ii) allow to explore diversified value functions to escape from local optima. The practical results of such components have been investigated with additional experiments that also motivate the improvement in sample efficiency and performance of VFS-based algorithms in a range of standard continuous control benchmarks. Our findings suggest that improving fundamental Deep PG primitives translates into higher-performing policies and better sample efficiency. 9 Published as a conference paper at ICLR 2023 7"
Artificial Intelligence,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","July 5th, 2018",Decision-Making Under Uncertainty in Multi-Agent and Multi-Robot Systems: Planning and Learning,http://www.ccs.neu.edu/home/camato/publications/ijcai18.pdf," Christopher Amato. In the Proceedings of the Twenty-Seventh International Joint Conference on Artificial Intelligence (IJCAI-18), July 2018","Multi-agent planning and learning methods are be- coming increasingly important in today’s intercon- nected world. Methods for real-world domains, such as robotics, must consider uncertainty and limited communication in order to generate high- quality, robust solutions. This paper discusses our work on developing principled models to represent these problems and planning and learning methods that can scale to realistic multi-agent and multi- robot tasks. 1The methods that have been discussed have shown a lot of promise, but there are other methods that are also promising (e.g., [Dibangoye et al., 2016; Claes et al., 2017; Nguyen et al., 2017]) and many open questions yet to solve. It is worth noting that the methods in this paper focused on the ‘full’ Dec-POMDP problem, where there was uncertainty about outcomes, sensing and communication and agents are depen- dent on all others, but some problems do not have all of these characteristics. In these cases, ideas from Dec-POMDP mod- els and methods could still be used, but structure may be able to be exploited to allow higher-quality, more efﬁcient solution methods. Some such structure has been explored [Oliehoek and Amato, 2016], but efﬁciently exploiting structure in other cases could lead to scalable methods that also consider un- certainty (e.g., probabilistic solutions to common multi-robot problems). Traditionally, scalability of Dec-POMDPs solution meth- ods has been an issue, but more recent methods (such as those discussed in this paper) can scale to large domains. One approach that is used to overcome this lack of scal- ability is deep reinforcement learning. Developing deep RL approaches for Dec-POMDP-based models is becom- ing a very active ﬁeld (e.g., [Foerster et al., 2016; 2017; Mordatch and Abbeel, 2017; Omidshaﬁei et al., 2017c; Rashid et al., 2018]) and the resulting methods can handle large state and observation spaces (and potentially large ac- tion spaces). These methods (including ours) require a lot of data and typically use a simulator, so they may ﬁt better in situations akin to the ofﬂine sample-based planning scenarios described earlier. Therefore, there has been a great deal of success in scal- ing planning and ofﬂine learning methods to large domains, but efﬁcient online learning remains a challenge. As men- tioned above, online learning in a Dec-POMDP must be de- centralized (since fast and free communication is not avail- able to centralize decision-making), leading to nonstationar- ity, which must (continue to) be tackled. Besides more effec- tively conquering nonstationarity in learning, other open re- search topics include developing planning and learning meth- ods with additional efﬁciency and scalability (in terms of the number of agents as well as action and observation spaces) and how to properly represent and encode history informa- tion for planning and learning. Overall, there has been great progress in solving large, realistic Dec-POMDPs. It will be exciting to see what further developments and applications will arise in the future."
Artificial Intelligence,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","May 5th, 2018",Near-Optimal Adversarial Policy Switching for Decentralized Asynchronous Multi-Agent Systems,http://www.ccs.neu.edu/home/camato/publications/ICRA2018.pdf," Nghia Hoang, Yuchen Xiao, Kavinayan Sivakumar, Christopher Amato and Jonathan P. How. In the Proceedings of the 2018 IEEE International Conference on Robotics and Automation (ICRA-18), May 2018.","— A key challenge in multi-robot and multi-agent systems is generating solutions that are robust to other self- interested or even adversarial parties who actively try to prevent the agents from achieving their goals. The practicality of existing works addressing this challenge is limited to only small-scale synchronous decision-making scenarios or a single agent planning its best response against a single adversary with ﬁxed, procedurally characterized strategies. In contrast this paper considers a more realistic class of problems where a team of asynchronous agents with limited observation and communication capabilities need to compete against multiple strategic adversaries with changing strategies. This problem necessitates agents that can coordinate to detect changes in adversary strategies and plan the best response accordingly. Our approach ﬁrst optimizes a set of stratagems that represent these best responses. These optimized stratagems are then inte- grated into a uniﬁed policy that can detect and respond when the adversaries change their strategies. The near-optimality of the proposed framework is established theoretically as well as demonstrated empirically in simulation and hardware.This paper introduces a novel near-optimal adversarial pol- icy switching algorithm for decentralized, non-cooperative multi-agent systems. Unlike the existing works in literature which are mostly limited to simple decision-making sce- narios where a single agent plans its best response against an adversary whose strategy is speciﬁed a priori under reasonable assumptions, we investigate instead a class of multi-agent scenarios where multiple robots need to operate independently in collaboration with their teammates to act effectively against adversaries with changing strategies. To achieve this, we ﬁrst optimize a set of basic stratagems that each is tuned to respond optimally to a pre-identiﬁed basic tactic of the adversaries. The stratagems are then integrated into a uniﬁed policy which performs near-optimally against B1 B3 B2 R1 R2 B1 B3 B2 R1 R2 B1 B3 B2 R1 R2 (a) (b) (c) B3 B2 B1 R1 R2 B1 B3 B2 R1 R2 B1 B3 B2 R1 R2 (d) (e) (f) Fig. 6: Image excerpts from a video demo showing (1) a team of 3 allied (blue) robots (B1,B2 and B3) that implement the optimized stratagem produced by our framework (Section III) to compete against (2) an opposing team of 2 opponent (red) robots (R1 and R2) which implement the hand-coded tactics DL and DR (see Section VI-A), respectively: (a) B1,B2 and B3 decide to invade the opposition territory; (b) B1 and B3 decide to attack the center while B2 decides to take the left ﬂank of the opposition; (c) B2 passes through R1’s defense while B1 takes an interesting position to block R2 so that B3 can pass through its defense; (d) B1 and B2 detect the ﬂag and mount a pincer attack; (e) R2 arrives to defend the ﬂag and B2 retreats to avoid getting tagged; and (f) without noticing B1 from behind, R2 continues its DR patrol, thus losing the ﬂag to B1. any high-level strategies of the adversaries that switches between their basic tactics. The near-optimality of our pro- posed framework can be established in both theoretical and empirical settings with interesting and consistent results. We believe this is a signiﬁcant step towards bridging the gap between theory and practice in multi-agent research."
Artificial Intelligence,Christopher Amato,https://www.khoury.northeastern.edu/people/chris-amato/,"Christopher Amato is an associate professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Artificial intelligence; Machine learning; Robotics,"PhD in Computer Science, University of Massachusetts, Amherst; MS in Computer Science, University of Massachusetts, Amherst; BA in Clinical Psychology and Philosophy, Tufts University","August 4th, 2017",COG-DICE: An Algorithm for Solving Continuous-Observation Dec-POMDPs,http://www.ccs.neu.edu/home/camato/publications/cogdice_ijcai.pdf," COG-DICE: An Algorithm for Solving Continuous-Observation Dec-POMDPs. Madison Clark-Turner and Christopher Amato. In the Proceedings of the Twenty-Sixth International Joint Conference on Artificial Intelligence (IJCAI-17), August 2017","The decentralized partially observable Markov de- cision process (Dec-POMDP) is a powerful model for representing multi-agent problems with de- centralized behavior. Unfortunately, current Dec- POMDP solution methods cannot solve problems with continuous observations, which are common in many real-world domains. To that end, we present a framework for representing and gener- ating Dec-POMDP policies that explicitly include continuous observations. We apply our algorithm to a novel tagging problem and an extended version of a common benchmark, where it generates poli- cies that meet or exceed the values of equivalent discretized domains without the need for ﬁnding an adequate discretization. 1This paper presented, for the ﬁrst time, an algorithm that gen- erates joint policies for Dec-POMDPs with continuous ob- servations. We presented both a discrete-observation ver- sion of the algorithm, which is applicable in domains with a large number of discrete observations, and a continuous- observation version. This method is broadly applicable as many real-world domains have large or continuous observa- tion spaces. COG-DICE has been successful in generating joint policies for both a novel and a preexisting problem and has highlighted the negative impacts that inappropriate dis- cretization can have on joint policy structure and value. For future work, we are interested in extending this work to high- dimensional observation spaces by exploring other (nonlin- ear) divisions and optimizing the algorithm parameters by ei- ther integrating these optimizations into the algorithm or pos- sibly building on previous work on Bayesian non-parametrics [Liu et al., 2015]."
Artificial Intelligence,David Bau,https://www.khoury.northeastern.edu/people/david-bau/,"David Bau is an assistant professor in the Khoury College of Computer Sciences at Northeastern University, based in Boston.",Machine learning; Computer vision; Artificial intelligence; Natural language processing; Human–computer interaction,"PhD in Computer Science, Massachusetts Institute of Technology; MS in Computer Science, Cornell University; AB in Mathematics, Harvard University","October 24th, 2022",Emergent World Representations: Exploring a Sequence Model Trained on a Synthetic Task,https://openreview.net/pdf?id=DeG07_TcZvT," Kenneth Li , Aspen K. Hopkins, David Bau, Fernanda B. Viégas, Hanspeter Pfister, Martin Wattenberg. (2023). Emergent World Representations: Exploring a Sequence Model Trained on a Synthetic Task ICLR. https://openreview.net/pdf?id=DeG07_TcZvT","Language models show a surprising range of capabilities, but the source of their apparent competence is unclear. Do these networks just memorize a collection of surface statistics, or do they rely on internal representations of the process that generates the sequences they see? We investigate this question in a synthetic setting by applying a variant of the GPT model to the task of predicting legal moves in a simple board game, Othello. Although the network has no a priori knowledge of the game or its rules, we uncover evidence of an emergent nonlinear internal representation of the board state. Interventional experiments indicate this representation can be used to control the output of the network. By leveraging these intervention techniques, we produce “latent saliency maps” that help explain predictions. 1 1Our experiments provide evidence that Othello-GPT maintains a representation of game board states— that is, the Othello “world”—to produce sequences it was trained on. This representation appears to be nonlinear in an essential way. Further, we find that these representations can be causally linked to how the model makes its predictions. Understanding of the internal representations of a sequence model is interesting in its own right, but may also be helpful in deeper interpretations of the network. We have also described how interventional experiments may be used to create a “latent saliency map”, which gives a picture, in terms of the Othello board, of how the network has made a prediction. Applied to two versions of Othello-GPT that were trained on different data sets, the latent saliency maps highlight the dramatic differences between underlying representations of the Othello-GPT trained on synthetic dataset and its counterpart trained on championship dataset. There are several potential lines of future work. One natural extension would be to perform the same type of investigations with other, more complex games. It would also be interesting to compare the strategies learned by a sequence model trained on game transcripts with those of a model trained with a priori knowledge of Othello. One option is to compare latent saliency maps of Othello–GPT with standard saliency maps of an Othello-playing program which has the actual board state as input. More broadly, it would be interesting to study how our results generalize to models trained on natural language. One stepping stone might be to look at language models whose training data has included game transcripts. Will we see similar representation of board state? Grammar engineering tools (Weston et al., 2015; Hermann et al., 2017; Cˆot´e et al., 2018) could help define a synthetic data generation process that maps world representations onto natural language sentences, providing a similarly controllable setting like Othello while closing the distance to natural languages. For more complex natural language tasks, can we find meaningful world representations? Our hope is that the tools described in this paper—nonlinear probes, layerwise interventions, and latent saliency maps—may prove useful in natural language settings. 9 Published as a conference paper at ICLR 2023"
